,dataset,object,owner,project,property,stars,users
54,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manopozicija.lt,iki,0.0,8.0
55,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manopozicija.lt,pavadinimas,0.0,8.0
56,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manopozicija.lt,rūšis,0.0,8.0
57,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manopozicija.lt,sukurta,0.0,8.0
58,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manopozicija.lt,panaikinta,0.0,8.0
59,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manopozicija.lt,priklauso,0.0,8.0
60,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,id,0.0,8.0
61,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,vardas,1.0,8.0
62,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,pavardė,1.0,8.0
63,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,gimimo_data,0.0,8.0
64,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,mirties_data,0.0,8.0
65,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,gimimo_vieta,0.0,8.0
66,gov/savivaldybės/vilnius/taryba,politika/savivaldybės/tarybos_narys,gov/savivaldybės/vilnius,projects/manopozicija.lt,nuotrauka,0.0,8.0
67,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manoseimas.lt,pavadinimas,2.0,19607.285714285714
68,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manoseimas.lt,nuo,2.0,19607.285714285714
69,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manoseimas.lt,iki,2.0,19607.285714285714
70,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,vardas,2.0,19607.285714285714
71,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,pavardė,2.0,19607.285714285714
72,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,gimimo_data,1.0,19607.285714285714
73,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,mirties_data,0.0,19607.285714285714
74,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,gimimo_vieta,1.0,19607.285714285714
75,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manoseimas.lt,nuotrauka,1.0,19607.285714285714
76,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manoseimas.lt,seimo_narys,2.0,19607.285714285714
77,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manoseimas.lt,rūšis,2.0,19607.285714285714
78,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manoseimas.lt,reikšmė,2.0,19607.285714285714
79,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manoseimas.lt,kadencija,2.0,19607.285714285714
80,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manoseimas.lt,seimo_narys,2.0,19607.285714285714
81,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manoseimas.lt,kas_iškėlė,1.0,19607.285714285714
82,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manoseimas.lt,nuo,2.0,19607.285714285714
83,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manoseimas.lt,iki,2.0,19607.285714285714
84,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/partija,gov/vrk,projects/manoseimas.lt,pavadinimas,2.0,19607.285714285714
85,gov/lrs/ad,politika/partija,gov/lrs,projects/manoseimas.lt,trumpinys,1.0,19607.285714285714
86,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,projects/manoseimas.lt,pavadinimas,2.0,19607.285714285714
87,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,projects/manoseimas.lt,trumpinys,2.0,19607.285714285714
88,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manoseimas.lt,seimo_narys,2.0,19607.285714285714
89,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manoseimas.lt,grupė,2.0,19607.285714285714
90,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manoseimas.lt,pareigos,2.0,19607.285714285714
91,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manoseimas.lt,nuo,0.0,19607.285714285714
